id,lat,lon
W_7100042877,58.346329392152235,26.71218079859483
W_6161847013,58.34758010981825,26.69387831959062
W_330045252,58.34970068155614,26.698081634188917
W_7100042692,58.35176566949016,26.703240162230628
W_330041051,58.35424162922248,26.76559341690267
W_6854173294,58.35494500500168,26.708490579211638
W_7004685697,58.355101393689736,26.707514281931967
W_3640971429,58.35557745816198,26.763881271209527
W_2715883106,58.35589005703872,26.748432688014542
W_10049604969,58.356088307173465,26.72199495151151
W_cluster_330045562_6161780109,58.3574711457613,26.713493629785393
W_1038213416,58.35749312689714,26.73082639119762
W_7816253372,58.357620290191356,26.73086148052598
W_330041711,58.35763902018478,26.705266134834893
W_330045486,58.35774383237105,26.743889637021528
W_11097100871,58.35782118752168,26.682470957730068
W_2734708423,58.357880554730116,26.760372789020373
W_248516365,58.35800195692926,26.691982010198025
W_8538740281,58.358190436077955,26.683601664844637
W_cluster_330042596_6161780107,58.358200050051884,26.711036661805483
W_4688608433,58.358590798581346,26.74393579703805
W_cluster_330044495_330044511,58.35859997677543,26.709794946409513
W_1038224749,58.35872253568832,26.733104590411617
W_330042795,58.35879603223631,26.79452288205851
W_8107349381,58.358831390972995,26.731985792725226
W_6694843857,58.358859803331804,26.73755085448558
W_330045671,58.35887299554089,26.729985866221558
W_9152917405,58.35893603344259,26.737539351731176
W_6694844038,58.358985966123484,26.734790682367212
W_9807423026,58.3590629040153,26.730814274144404
W_330046004,58.35907712072142,26.69418281395435
W_1038225267,58.35912453144228,26.733094892201926
W_963476515,58.359147559581025,26.68507663373714
W_330042687,58.35922797112473,26.71230296370091
W_13076693381,58.359389760259916,26.70283799590591
W_5028506733,58.35942565246047,26.716854685209714
W_cluster_330045249_6161780102,58.35943261811424,26.70780145814414
W_2519716646,58.35947605178697,26.729362963421515
W_6694843869,58.359497009651804,26.739776993644302
W_1038232299,58.35950991273344,26.732440359881295
W_7004685694,58.359561976788676,26.70281621239948
W_10621476223,58.35962637116595,26.77670765334089
W_cluster_330045675_8107349318,58.35963014922624,26.72719174672951
W_330046313,58.3596379827672,26.7111069443482
W_6694844040,58.35965058275812,26.734260706182283
W_330044013,58.359660964135294,26.68366199574642
W_963483430,58.35969992483371,26.685002160631747
W_6694844249,58.35971766017389,26.744581317428494
W_322906392,58.35972379520545,26.6897393767332
W_8107349362,58.35972535889808,26.72496867443683
W_330043763,58.35972579084266,26.777581330616165
W_8107349359,58.359745932120966,26.7255572532211
W_5357483227,58.35974648824705,26.74047036512864
W_5357494516,58.35975925689051,26.741454464719258
W_2519716648,58.35976583655582,26.730062105958496
W_cluster_330045744_7997593288,58.3597676669357,26.697679716902357
W_377128797,58.359788360586094,26.777252986776464
W_330041269,58.35979696977483,26.72136697911099
W_7997593295,58.359801265581,26.69760679847125
W_8017174184,58.359824561272205,26.77772101566642
W_8017174182,58.35984722558797,26.777428468844953
W_7816253356,58.35985852316017,26.74093096505551
W_3269694053,58.35986140616886,26.769552426552455
W_8107321198,58.35987466775259,26.72737904392095
W_8107349386,58.359890997883234,26.73261059597412
W_8132449026,58.35989237435458,26.759672665419057
W_13702181377,58.35989951735204,26.72135677190051
W_cluster_13076693390_330046097_6516807783_7004672358,58.359902586805774,26.702518723183182
W_7873238000,58.359914155416554,26.68846110140766
W_5357494517,58.35993085984726,26.741348108422994
W_12050184884,58.35994748624848,26.716125901777076
W_330046298,58.359958822011194,26.74118486770188
W_6694844045,58.35996159585152,26.734208125553803
W_12050184887,58.359970575380935,26.716007284329546
W_8107349366,58.35997325016283,26.72417497780048
W_1038225265,58.359976236067084,26.731581660342275
W_cluster_8107349356_8107349357,58.35997732854013,26.72569730282024
W_7997593289,58.35998118593613,26.69432367820647
W_8107321193,58.35999301817362,26.72757739848943
W_330369531,58.36000202711333,26.717394893520645
W_6694844044,58.36000381281839,26.73373425054232
W_8107321197,58.360009415312156,26.72751677435435
W_12050184886,58.360012128052,26.716316959544816
W_5028506732,58.36001290682791,26.717237580489897
W_8132449029,58.360015206020144,26.76018025140901
W_cluster_248516371_7997593292,58.360017277876295,26.694242531473247
W_11768261116,58.36002602950047,26.7410640638217
W_8107349364,58.360029183602435,26.72479097056701
W_7100042876,58.36003380245365,26.716857507100055
W_7100042875,58.36003883443848,26.716777315625457
W_7873237999,58.36004006235125,26.68923108534722
W_9152533594,58.36004455406349,26.74103077400363
W_7004655423,58.36004620469774,26.715928234838074
W_13139650566,58.3600548306657,26.715929874538446
W_5604951239,58.36005865639333,26.73255429929997
W_330045791,58.360065489341885,26.740679767041993
W_8107321194,58.3600666294447,26.72730647067291
W_6161846933,58.36006895220808,26.716425365935947
W_7997593287,58.36007049956501,26.694338970757
W_cluster_8107349360_8107349370,58.36007155653685,26.72532538122391
W_4522054399,58.36007789170898,26.729695369441377
W_330041627,58.36008099052057,26.71614294547483
W_cluster_11768261115_6329296612,58.36008327385765,26.741124142671108
W_7004655465,58.36009229992684,26.71593709312474
W_248516374,58.36010397256205,26.693162899547637
W_7873238001,58.3601043821104,26.688902907636
W_5604951240,58.360112529258046,26.732890561617577
W_6694844047,58.360114270757684,26.73450536668147
W_6694843851,58.360114308649806,26.73639310911031
W_7401632989,58.360120982755774,26.70662955971909
W_963481563,58.36012539267079,26.687241074954077
W_cluster_8107321189_8107321196,58.360131469404344,26.727682972717812
W_3099060980,58.36013186024733,26.700657246959906
W_5357487987,58.36015037305123,26.740594891747588
W_9152533601,58.36016906609183,26.74086665422519
W_cluster_8107349363_8107349369,58.36017397883145,26.72492194856259
W_7401632990,58.36017486629449,26.70678377617821
W_8107349385,58.36019140417834,26.732511254428964
W_6854075763,58.36019357742918,26.716407618648176
W_4944718949,58.36019510902368,26.688982090353434
W_330045661,58.360196103202455,26.74095669063226
W_cluster_1286291359_330045859,58.360199902761764,26.721375596846258
W_13139650560,58.36020374718644,26.716295256552336
W_6854075764,58.360212752615695,26.71622494486578
W_6694843856,58.36022038815376,26.737928015197237
W_6694711582,58.36022256753418,26.68845445412925
W_cluster_6694844235_6694844255,58.360225427720685,26.742358871469236
W_6694843852,58.36027472288704,26.737137375289183
W_6694711586,58.360276927868426,26.6885741175785
W_6694711584,58.36027861278988,26.68841755887522
W_4387530741,58.36027967116526,26.68885283038045
W_8107349374,58.36028499555542,26.73101210280813
W_6694843987,58.3602918359764,26.740862507650064
W_cluster_8107349322_8107349365,58.3602927874494,26.724454127812365
W_1038226427,58.360305262269804,26.732153897496243
W_6694711583,58.360308510898506,26.688376279589228
W_cluster_1724503703_330043559,58.360318562720586,26.778195744807412
W_330046403,58.36032396474409,26.709385852178134
W_8107321183,58.36033474869617,26.73053987117045
W_8107349368,58.360337424718736,26.723495204991323
W_8538740265,58.36033811584241,26.688325261533343
W_cluster_330045154_330045622,58.3603394760748,26.73086591125884
W_6694843988,58.36033978008427,26.74089821614
W_1914548339,58.36035277933948,26.688741102371132
W_cluster_6694844300_6694844307,58.36035578203411,26.73161689048797
W_7401632991,58.36036216282432,26.707228784321483
W_2548891641,58.360367061887715,26.77019820756349
W_5604951242,58.36037599495513,26.732133708383035
W_963478169,58.36037899834268,26.687778876064826
W_12744273999,58.36037979181481,26.729921896762416
W_cluster_330042023_7004655430,58.360383031610795,26.713236080296348
W_330045657,58.36038641897437,26.730552294986282
W_248516362,58.36039398318001,26.690919885225753
W_8107321184,58.360396288601834,26.729695157780483
W_6694843850,58.36039863701146,26.73699067692419
W_330045619,58.36040503323127,26.732877927688534
W_248516363,58.360410148494374,26.69166435540562
W_cluster_322906391_6694711580_8538740266,58.360437112660556,26.688407104837058
W_12744273998,58.36043731090326,26.729939402028126
W_6694843875,58.360445172596435,26.73831121614876
W_8107321171,58.36044921221863,26.73055796900538
W_cluster_330046401_6161780097,58.36045223540433,26.706360207870436
W_330045658,58.360453408421925,26.72969369583884
W_6694843989,58.36045488384074,26.741055968038552
W_6694844033,58.36045855112414,26.735815977720886
W_4747302745,58.36046161000824,26.777092715259094
W_8107349321,58.36046800255568,26.723613301516277
W_330040770,58.36046909336445,26.776645252454806
W_10700387087,58.36047460766778,26.697755364489534
W_8107321192,58.36047885895649,26.726788882976116
W_13702181378,58.360485564189055,26.721314556799104
W_cluster_6694843872_6694843986_6694843993_9152533590,58.360498952744564,26.740641383470024
W_12744274000,58.360502199097795,26.729958901888658
W_966082206,58.36050231167881,26.68803516364613
W_330042772,58.360503992227635,26.7045738691205
W_cluster_330044714_7997593298_7997593299_7997593300,58.36052385669031,26.69799642608155
W_8107349367,58.3605304569318,26.723669894195247
W_3099060978,58.36053421527551,26.701071351668382
W_6694844240,58.36053429700124,26.744506888941988
W_6161780111,58.360535466492514,26.70756453648541
W_8107321180,58.36055471514035,26.72833289559601
W_330044718,58.360560457931804,26.6977495038198
W_10700387083,58.360571148270196,26.69816931563911
W_6694844308,58.360582904248766,26.73164917624477
W_8107321195,58.36060311681905,26.72811701801447
W_cluster_330040777_330045792_8107321181,58.360610636422635,26.72827453070289
W_10700387082,58.36061116258679,26.697846142249492
W_4034661464,58.360619467750524,26.680077487845416
W_963478180,58.360632328316576,26.687725198484742
W_3099060992,58.3606340520233,26.700247961105266
W_6694844305,58.360635636285636,26.731140175210065
W_6694844036,58.36063936519278,26.736520618495085
W_6694844301,58.36064230271231,26.731492180357204
W_963481555,58.36066581846841,26.68735250886495
W_8107321179,58.36066750882538,26.728410472782635
W_8164622916,58.36067337785535,26.714872326373143
W_6694844299,58.36069419995289,26.734412999306528
W_248509602,58.36070295723411,26.703107924329572
W_7873238004,58.36071959283598,26.689631176567936
W_cluster_10700387060_330044206,58.36073449689783,26.69831045351192
W_4034661473,58.360754064529054,26.679703191755863
W_6694844042,58.360762696014525,26.7350906218881
W_330044012,58.3607631371402,26.67952417538171
W_6694844034,58.36077176459993,26.736569535395308
W_6694844263,58.3607841019961,26.746418326499466
W_6694844035,58.36079745907012,26.736835096005706
W_2548891643,58.36080114997085,26.77070398974024
W_6694844304,58.36080449472781,26.73109958419698
W_6161780110,58.360808622054336,26.707182534025076
W_6694843848,58.36081123151473,26.7376378895491
W_cluster_330041274_330041986_7004655434,58.360813194754556,26.711811201973735
W_330043819,58.36084877289019,26.69581738413325
W_6694844028,58.360858814824184,26.736360386700806
W_963478187,58.36086310920535,26.687558923773647
W_6694843879,58.36086837141685,26.73852444672565
W_10621476207,58.36089927906536,26.774423887649203
W_8164622914,58.360914591119936,26.713529824023524
W_6694843991,58.36092806534017,26.741783281481602
W_6694844026,58.36093186593847,26.73576527321479
W_cluster_6694843884_7725022441_7725022442,58.36093345244751,26.74040525745518
W_6694844024,58.36096841082278,26.736283176358036
W_10700387078,58.36097512204709,26.699230250172906
